"Player","Rank","ADP","Diff","Finish2024","Team","Pos","PosRank","Notes","Id"
"Jordan Mason","88","86.8","0","87","MIN","RB","31","","85474863-13c5-412b-a5fd-cebdd1383524"
"Bo Nix","89","96.8","0.08","99","DEN","QB","8","","bfa23971-1c74-42b7-a7da-cf3bb80a1355"
"Kyler Murray","90","95.4","0.06","108","ARI","QB","9","","017dad8b-5da7-4e17-a567-10e147fbb7c7"
"Travis Kelce","91","95.5","0.05","89","KC","TE","5","","bbd7c5bc-808f-4c97-80e1-6029515ff8bc"
"Mark Andrews","92","99.8","0.08","96","BAL","TE","6","","f52f0cdf-de38-4cd9-a5c9-b54b2958ea05"
"T.J. Hockenson","93","86.8","-0.07","153","MIN","TE","7","","4ddaf397-6424-4910-b9ec-49aef1d2b69a"
"Jaylen Warren","94","94","0","177","PIT","RB","32","","d8c284a1-8746-41fc-bd8e-fbfb20bf2e92"
"J.K. Dobbins","95","100.7","0.06","42","DEN","RB","33","","fb971e03-d484-4d81-982d-0e0af12179e6"
"Jayden Reed","96","79.4","-0.21","83","GB","WR","47","","f234f298-dc09-48a1-8198-168a9c25c28c"
"Khalil Shakir","97","85","-0.14","113","BUF","WR","48","","55ba823b-3e25-4a1d-922d-9c622a052aaf"
"Chris Godwin","98","84.4","-0.16","13","TB","WR","49","Dislocated ankle","d0d1514c-26e3-405f-84de-8072bc2b0fa7"
"Keenan Allen","99","148.5","0.33","66","LAC","WR","50","","8086a0ab-51d0-4510-af6e-34603b9ad807"
"Tucker Kraft","100","116.7","0.07","118","GB","TE","8","","48dddfc4-9fbb-49f7-93ca-49b5bad5b640"
"Colston Loveland","101","116.9","0.06","","CHI","TE","9","Rookie","72f1fd78-4146-4527-8de9-823b13309425"
"Tyler Warren","102","107","-0.04","","IND","TE","10","Rookie","59cd0550-2714-465f-a640-99957e7fc514"
"Rashid Shaheed","103","107.7","0.07","40","NO","WR","51","","8c7f9176-18b8-4f59-bc46-2c14a60bfed8"
"Jayden Higgins","104","88.8","-0.14","","HOU","WR","52","Rookie","6f51ed2b-b312-4ac8-a02b-f791528ab5eb"
"Cooper Kupp","105","97.8","-0.04","46","SEA","WR","53","","c0c80e9d-fe68-441d-90d4-b5828752b9c7"
"Baker Mayfield","106","92.1","-0.13","56","TB","QB","10","","12a4ad78-4491-4aa3-8373-0fa48356c7f7"
"Justin Fields","107","104.1","-0.01","148","NYJ","QB","11","","69a1328c-ef69-41a4-a9c6-9ef0f96179f0"
"Cam Skattebo","108","112.4","0.06","","NYG","RB","34","Rookie","45040fd6-c586-4f05-b4a5-35e32042f5c8"
"Tyrone Tracy","109","96.8","-0.11","81","NYG","RB","35","","c8fd58f1-4635-46b0-9727-6cdd493a63a0"
"Rhamondre Stevenson","110","122.4","0.12","61","NE","RB","36","","9a1d9082-34b9-40f4-8e3c-330caa3fa989"
"Brandon Aiyuk","111","106.4","0.03","157","SF","WR","54","Torn ACL + MCL","7eba46a1-1484-4352-b7f8-480163694c25"
"Rashod Bateman","112","114.6","0.02","91","BAL","WR","55","","a539369c-22ad-4d91-b5b9-a616d39018b8"
"Keon Coleman","113","99.2","-0.14","169","BUF","WR","56","","d94128a2-2821-4fe3-95ee-ad6a026b85cb"
"Dak Prescott","114","105.6","-0.08","162","DAL","QB","12","","1a3c579b-489d-476c-8e92-96396daccfa2"
"Caleb Williams","115","113.5","-0.01","124","CHI","QB","13","","a6e88774-89df-4886-b850-16c63473fcbe"
"Justin Herbert","116","125.7","0.08","141","LAC","QB","14","","37bd88b0-b695-4a09-a0e9-fc29f6c14dfd"
"Zach Charbonnet","117","110.9","-0.06","77","SEA","RB","37","","39526890-3152-4899-a948-99f0a9858b6f"
"Ray Davis","118","127.7","0.08","146","BUF","RB","38","","216c2a61-381c-4520-a163-a8af32943fb9"
"Evan Engram","119","105.5","-0.13","180","DEN","TE","11","","43e1dda1-d83d-4da9-a11a-e6c4b714e102"
"Dalton Kincaid","120","131.9","0.09","258","BUF","TE","12","","8e3162f9-5b76-46e8-b189-777db6212f8b"
"Drake Maye","121","111.8","-0.08","262","NE","QB","15","","1fd437b3-ec8a-40ff-af9b-bdeb9e195111"
"Jared Goff","122","118.8","-0.03","68","DET","QB","16","","a889c484-29f2-47ac-805b-49691067644b"
"Jordan Love","123","125.1","0.02","173","GB","QB","17","","86d70c50-1438-435a-be56-17fc097d2763"
"Marvin Mims Jr.","124","127.2","0","107","DEN","WR","57","","e7384056-0c8d-48b5-8ece-43a68ad9d200"
"Dallas Goedert","125","139.4","0.11","123","PHI","TE","13","","315ad6ba-764f-4118-9deb-03720308a0c2"
"Jake Ferguson","126","135.3","0.08","228","DAL","TE","14","","5336c84a-59d1-4502-b26c-a9a7a5683195"
"David Njoku","127","120.6","-0.04","75","CLE","TE","15","","96103fd4-acc7-4dba-adcf-ae140cf7d983"
"C.J. Stroud","128","131.9","0.01","269","HOU","QB","18","","d97eb184-b572-477a-98c8-e918a0bf1c66"
"Trevor Lawrence","129","129.6","-0.01","206","JAX","QB","19","","01b46905-02f2-4016-a320-7cc36b5d1afc"
"Luther Burden","130","115.7","-0.11","","CHI","WR","58","Rookie","9df8f9e8-d362-46e0-be35-502442b747e6"
"Romeo Doubs","131","149.4","0.14","137","GB","WR","59","","c27b2fd7-45a7-409c-9973-3346fd3062fc"
"J.J. McCarthy","132","123.4","-0.07","","MIN","QB","20","","78a6939e-5faf-45ed-98f2-674a84e65045"
"Bryce Young","133","151.3","0.12","117","CAR","QB","21","","04c979d6-83b7-40dc-83fc-ed4db79ce5f9"
"Kyle Pitts","134","141","0.05","152","ATL","TE","16","Trade Candidate","baf94a12-0921-4655-9b10-12b59b77c57c"
"Braelon Allen","135","153.5","0.09","217","NYJ","RB","39","","84f0a2d4-81a1-424b-a516-172e02cd82e3"
"Dylan Sampson","136","138.7","0.01","","CLE","RB","40","Rookie","032a165a-b343-4c8f-a56f-8fc47d2a4a07"
"Isaac Guerendo","137","158.8","0.14","106","SF","RB","41","","5517771d-f8e5-4ab2-b023-c06057b9d12a"
"Tyler Allgeier","138","156.6","0.12","212","ATL","RB","42","","00403734-5e69-424c-974e-ceefbc335618"
"Will Shipley","139","189.6","0.26","193","PHI","RB","43","","f69a3a63-744a-4568-a158-b69f0d5e4eb6"
"Darius Slayton","140","200.2","0.3","167","NYG","WR","60","","bdecac5a-bd13-4a2c-94c8-4ff12c29d50a"
"Cedric Tillman","141","149.7","0.05","93","CLE","WR","61","","be28ffd2-9c10-44fd-937a-0dd5fa9f22c9"
"Bhayshul Tuten","142","140","-0.33","","JAX","RB","44","Rookie","ae822ce4-b4ff-4b53-bf83-be036fe15dd2"
"Hollywood Brown","143","137.8","-0.04","","KC","WR","62","","27c2ab08-d88c-427a-b0d3-cf0ba47af2f7"
"Joshua Palmer","144","141.5","-0.02","244","BUF","WR","63","","6dc7832f-45d2-4ae6-8c6a-3595e185a18e"
"Christian Kirk","145","124.4","-0.17","151","HOU","WR","64","","e35cb821-a7ae-41d8-a7c1-3fb43082b786"
"Tua Tagovailoa","146","152.1","0.04","111","MIA","QB","22","","bfd060c8-dfa0-43d4-beb2-6f3e5b9df69e"
"Michael Penix","147","141","-0.04","","ATL","QB","23","","a6b061d0-7d58-45b0-8539-c0dd60cb26f9"
"Kyle Williams","148","138.4","-0.07","","NE","WR","65","Rookie","d1bb13ec-b37e-420c-b9f5-e76698cb6b2b"
"Demario Douglas","149","149.7","0","170","NE","WR","66","","63cbde87-5fd3-410c-9c64-2185510182ef"
"Tyjae Spears","150","124.3","-0.21","101","TEN","RB","45","","76809c5a-f06d-479a-a218-f22ee3e13a83"
"Trey Benson","151","140.1","-0.08","248","ARI","RB","46","","9ee85b14-7fae-4772-b58f-fa2922f230ef"
"Rico Dowdle","152","181.6","0.11","65","CAR","RB","47","","a07ec2e7-a9ff-4797-8b81-e97de03a6a51"
"Tank Bigsby","153","128.6","-0.05","95","JAX","RB","48","","91edd6d6-bd65-4571-8713-41fc3cd2eb92"
"Geno Smith","154","162.7","0.06","168","LV","QB","24","","2f6b0b7d-b3fe-46e5-b7ef-c84495f0e78a"
